"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;10x10;exp_agent3-4;0;100;i_ini;i_vz;0
0;10x10;exp_agent3-4;0;99;i_vz;i_vz;0
0;10x10;exp_agent3-4;0;98;i_vz;i_vz;3
0;10x10;exp_agent3-4;0;97;i_vz;i_s;3
0;10x10;exp_agent3-4;0;96;i_s;i_vz;1
0;10x10;exp_agent3-4;0;95;i_vz;i_s;2
0;10x10;exp_agent3-4;0;94;i_s;i_vz;2
0;10x10;exp_agent3-4;0;93;i_vz;i_vz;2
0;10x10;exp_agent3-4;0;92;i_vz;i_vz;3
0;10x10;exp_agent3-4;0;91;i_vz;i_vz;2
0;10x10;exp_agent3-4;0;90;i_vz;i_vz;2
0;10x10;exp_agent3-4;0;89;i_vz;i_b;2
0;10x10;exp_agent3-4;0;88;i_b;i_vz;1
0;10x10;exp_agent3-4;0;87;i_vz;i_b;2
0;10x10;exp_agent3-4;0;86;i_b;i_vz;1
0;10x10;exp_agent3-4;0;85;i_vz;i_s;1
0;10x10;exp_agent3-4;0;84;i_s;i_b;1
0;10x10;exp_agent3-4;0;83;i_b;i_vz;0
0;10x10;exp_agent3-4;0;82;i_vz;i_b;1
0;10x10;exp_agent3-4;0;81;i_b;i_vz;1
0;10x10;exp_agent3-4;0;80;i_vz;i_f;1
0;10x10;exp_agent3-4;0;79;i_f;i_gl;2
0;10x10;exp_agent3-4;1;100;i_ini;i_vz;2
0;10x10;exp_agent3-4;1;99;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;98;i_vz;i_vz;1
0;10x10;exp_agent3-4;1;97;i_vz;i_vz;0
0;10x10;exp_agent3-4;1;96;i_vz;i_vz;3
0;10x10;exp_agent3-4;1;95;i_vz;i_ini;0
0;10x10;exp_agent3-4;1;94;i_ini;i_vz;0
0;10x10;exp_agent3-4;1;93;i_vz;i_vz;1
0;10x10;exp_agent3-4;1;92;i_vz;i_b;1
0;10x10;exp_agent3-4;1;91;i_b;i_vz;2
0;10x10;exp_agent3-4;1;90;i_vz;i_vz;3
0;10x10;exp_agent3-4;1;89;i_vz;i_vz;0
0;10x10;exp_agent3-4;1;88;i_vz;i_vz;3
0;10x10;exp_agent3-4;1;87;i_vz;i_s;3
0;10x10;exp_agent3-4;1;86;i_s;i_vz;0
0;10x10;exp_agent3-4;1;85;i_vz;i_vz;1
0;10x10;exp_agent3-4;1;84;i_vz;i_b;1
0;10x10;exp_agent3-4;1;83;i_b;i_vz;2
0;10x10;exp_agent3-4;1;82;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;81;i_vz;i_vz;1
0;10x10;exp_agent3-4;1;80;i_vz;i_b;0
0;10x10;exp_agent3-4;1;79;i_b;i_vz;3
0;10x10;exp_agent3-4;1;78;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;77;i_vz;i_ini;3
0;10x10;exp_agent3-4;1;76;i_ini;i_vz;2
0;10x10;exp_agent3-4;1;75;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;74;i_vz;i_vz;3
0;10x10;exp_agent3-4;1;73;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;72;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;71;i_vz;i_vz;1
0;10x10;exp_agent3-4;1;70;i_vz;i_vz;2
0;10x10;exp_agent3-4;1;69;i_vz;i_s;1
0;10x10;exp_agent3-4;1;68;i_s;i_b;1
0;10x10;exp_agent3-4;1;67;i_b;i_s;2
0;10x10;exp_agent3-4;1;66;i_s;i_b;1
0;10x10;exp_agent3-4;1;65;i_b;i_vz;1
0;10x10;exp_agent3-4;1;64;i_vz;i_bf;0
0;10x10;exp_agent3-4;1;63;i_bf;i_gl;1
0;10x10;exp_agent3-4;2;100;i_ini;i_vz;0
0;10x10;exp_agent3-4;2;99;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;98;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;97;i_vz;i_s;2
0;10x10;exp_agent3-4;2;96;i_s;i_vz;1
0;10x10;exp_agent3-4;2;95;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;94;i_vz;i_b;0
0;10x10;exp_agent3-4;2;93;i_b;i_vz;3
0;10x10;exp_agent3-4;2;92;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;91;i_vz;i_ini;2
0;10x10;exp_agent3-4;2;90;i_ini;i_vz;3
0;10x10;exp_agent3-4;2;89;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;88;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;87;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;86;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;85;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;84;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;83;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;82;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;81;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;80;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;79;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;78;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;77;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;76;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;75;i_vz;i_ini;1
0;10x10;exp_agent3-4;2;74;i_ini;i_vz;2
0;10x10;exp_agent3-4;2;73;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;72;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;71;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;70;i_vz;i_vz;0
0;10x10;exp_agent3-4;2;69;i_vz;i_s;0
0;10x10;exp_agent3-4;2;68;i_s;i_vz;1
0;10x10;exp_agent3-4;2;67;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;66;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;65;i_vz;i_s;0
0;10x10;exp_agent3-4;2;64;i_s;i_vz;1
0;10x10;exp_agent3-4;2;63;i_vz;i_s;0
0;10x10;exp_agent3-4;2;62;i_s;i_vz;0
0;10x10;exp_agent3-4;2;61;i_vz;i_s;3
0;10x10;exp_agent3-4;2;60;i_s;i_vz;1
0;10x10;exp_agent3-4;2;59;i_vz;i_s;2
0;10x10;exp_agent3-4;2;58;i_s;i_vz;1
0;10x10;exp_agent3-4;2;57;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;56;i_vz;i_vz;2
0;10x10;exp_agent3-4;2;55;i_vz;i_vz;1
0;10x10;exp_agent3-4;2;54;i_vz;i_b;0
0;10x10;exp_agent3-4;2;53;i_b;i_vz;3
0;10x10;exp_agent3-4;2;52;i_vz;i_vz;3
0;10x10;exp_agent3-4;2;51;i_vz;i_s;3
0;10x10;exp_agent3-4;2;50;i_s;i_vz;0
