"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;10x10;exp_agent3-1;0;100;i_ini;i_vz;1
0;10x10;exp_agent3-1;0;99;i_vz;i_vz;1
0;10x10;exp_agent3-1;0;98;i_vz;i_b;0
0;10x10;exp_agent3-1;0;97;i_b;i_vz;3
0;10x10;exp_agent3-1;0;96;i_vz;i_b;0
0;10x10;exp_agent3-1;0;95;i_b;i_vz;3
0;10x10;exp_agent3-1;0;94;i_vz;i_vz;3
0;10x10;exp_agent3-1;0;93;i_vz;i_s;3
0;10x10;exp_agent3-1;0;92;i_s;i_vz;1
0;10x10;exp_agent3-1;0;91;i_vz;i_s;2
0;10x10;exp_agent3-1;0;90;i_s;i_vz;2
0;10x10;exp_agent3-1;0;89;i_vz;i_s;3
0;10x10;exp_agent3-1;0;88;i_s;i_vz;2
0;10x10;exp_agent3-1;0;87;i_vz;i_vz;1
0;10x10;exp_agent3-1;0;86;i_vz;i_vz;0
0;10x10;exp_agent3-1;0;85;i_vz;i_ini;1
0;10x10;exp_agent3-1;0;84;i_ini;i_vz;0
0;10x10;exp_agent3-1;0;83;i_vz;i_vz;1
0;10x10;exp_agent3-1;0;82;i_vz;i_b;1
0;10x10;exp_agent3-1;0;81;i_b;i_vz;1
0;10x10;exp_agent3-1;0;80;i_vz;i_b;0
0;10x10;exp_agent3-1;0;79;i_b;i_vz;1
0;10x10;exp_agent3-1;0;78;i_vz;i_vz;2
0;10x10;exp_agent3-1;0;77;i_vz;i_b;1
0;10x10;exp_agent3-1;0;76;i_b;i_vz;0
0;10x10;exp_agent3-1;0;75;i_vz;i_b;1
0;10x10;exp_agent3-1;0;74;i_b;i_vz;1
0;10x10;exp_agent3-1;0;73;i_vz;i_b;2
0;10x10;exp_agent3-1;0;72;i_b;i_vz;2
0;10x10;exp_agent3-1;0;71;i_vz;i_b;3
0;10x10;exp_agent3-1;0;70;i_b;i_vz;3
0;10x10;exp_agent3-1;0;69;i_vz;i_b;2
0;10x10;exp_agent3-1;0;68;i_b;i_vz;1
0;10x10;exp_agent3-1;0;67;i_vz;i_s;2
0;10x10;exp_agent3-1;0;66;i_s;i_vz;3
0;10x10;exp_agent3-1;0;65;i_vz;i_b;3
0;10x10;exp_agent3-1;0;64;i_b;i_vz;2
0;10x10;exp_agent3-1;0;63;i_vz;i_s;1
0;10x10;exp_agent3-1;0;62;i_s;i_f;2
0;10x10;exp_agent3-1;0;61;i_f;i_gl;2
0;10x10;exp_agent3-1;1;100;i_ini;i_vz;3
0;10x10;exp_agent3-1;1;99;i_vz;i_s;3
0;10x10;exp_agent3-1;1;98;i_s;i_vz;2
0;10x10;exp_agent3-1;1;97;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;96;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;95;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;94;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;93;i_vz;i_b;3
0;10x10;exp_agent3-1;1;92;i_b;i_vz;0
0;10x10;exp_agent3-1;1;91;i_vz;i_vz;0
0;10x10;exp_agent3-1;1;90;i_vz;i_vz;0
0;10x10;exp_agent3-1;1;89;i_vz;i_s;0
0;10x10;exp_agent3-1;1;88;i_s;i_vz;1
0;10x10;exp_agent3-1;1;87;i_vz;i_ini;1
0;10x10;exp_agent3-1;1;86;i_ini;i_vz;1
0;10x10;exp_agent3-1;1;85;i_vz;i_vz;0
0;10x10;exp_agent3-1;1;84;i_vz;i_b;1
0;10x10;exp_agent3-1;1;83;i_b;i_vz;2
0;10x10;exp_agent3-1;1;82;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;81;i_vz;i_vz;3
0;10x10;exp_agent3-1;1;80;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;79;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;78;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;77;i_vz;i_s;2
0;10x10;exp_agent3-1;1;76;i_s;i_b;1
0;10x10;exp_agent3-1;1;75;i_b;i_s;2
0;10x10;exp_agent3-1;1;74;i_s;i_vz;2
0;10x10;exp_agent3-1;1;73;i_vz;i_s;3
0;10x10;exp_agent3-1;1;72;i_s;i_vz;3
0;10x10;exp_agent3-1;1;71;i_vz;i_s;0
0;10x10;exp_agent3-1;1;70;i_s;i_vz;3
0;10x10;exp_agent3-1;1;69;i_vz;i_b;3
0;10x10;exp_agent3-1;1;68;i_b;i_vz;2
0;10x10;exp_agent3-1;1;67;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;66;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;65;i_vz;i_s;1
0;10x10;exp_agent3-1;1;64;i_s;i_vz;1
0;10x10;exp_agent3-1;1;63;i_vz;i_s;0
0;10x10;exp_agent3-1;1;62;i_s;i_b;0
0;10x10;exp_agent3-1;1;61;i_b;i_s;3
0;10x10;exp_agent3-1;1;60;i_s;i_vz;3
0;10x10;exp_agent3-1;1;59;i_vz;i_vz;0
0;10x10;exp_agent3-1;1;58;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;57;i_vz;i_s;2
0;10x10;exp_agent3-1;1;56;i_s;i_vz;3
0;10x10;exp_agent3-1;1;55;i_vz;i_b;3
0;10x10;exp_agent3-1;1;54;i_b;i_vz;2
0;10x10;exp_agent3-1;1;53;i_vz;i_vz;2
0;10x10;exp_agent3-1;1;52;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;51;i_vz;i_s;1
0;10x10;exp_agent3-1;1;50;i_s;i_vz;1
0;10x10;exp_agent3-1;1;49;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;48;i_vz;i_b;0
0;10x10;exp_agent3-1;1;47;i_b;i_s;3
0;10x10;exp_agent3-1;1;46;i_s;i_vz;2
0;10x10;exp_agent3-1;1;45;i_vz;i_vz;1
0;10x10;exp_agent3-1;1;44;i_vz;i_b;0
0;10x10;exp_agent3-1;1;43;i_b;i_vz;1
0;10x10;exp_agent3-1;1;42;i_vz;i_f;1
0;10x10;exp_agent3-1;1;41;i_f;i_gl;0
0;10x10;exp_agent3-1;2;100;i_ini;i_vz;3
0;10x10;exp_agent3-1;2;99;i_vz;i_s;3
0;10x10;exp_agent3-1;2;98;i_s;i_vz;2
0;10x10;exp_agent3-1;2;97;i_vz;i_vz;1
0;10x10;exp_agent3-1;2;96;i_vz;i_vz;2
0;10x10;exp_agent3-1;2;95;i_vz;i_vz;1
0;10x10;exp_agent3-1;2;94;i_vz;i_vz;1
0;10x10;exp_agent3-1;2;93;i_vz;i_vz;0
0;10x10;exp_agent3-1;2;92;i_vz;i_vz;3
0;10x10;exp_agent3-1;2;91;i_vz;i_vz;2
0;10x10;exp_agent3-1;2;90;i_vz;i_vz;1
0;10x10;exp_agent3-1;2;89;i_vz;i_vz;0
0;10x10;exp_agent3-1;2;88;i_vz;i_vz;0
0;10x10;exp_agent3-1;2;87;i_vz;i_vz;1
0;10x10;exp_agent3-1;2;86;i_vz;i_vz;2
0;10x10;exp_agent3-1;2;85;i_vz;i_b;1
0;10x10;exp_agent3-1;2;84;i_b;i_vz;2
0;10x10;exp_agent3-1;2;83;i_vz;i_b;1
0;10x10;exp_agent3-1;2;82;i_b;i_vz;1
0;10x10;exp_agent3-1;2;81;i_vz;i_b;0
0;10x10;exp_agent3-1;2;80;i_b;i_vz;1
0;10x10;exp_agent3-1;2;79;i_vz;i_b;0
0;10x10;exp_agent3-1;2;78;i_b;i_vz;3
0;10x10;exp_agent3-1;2;77;i_vz;i_b;0
0;10x10;exp_agent3-1;2;76;i_b;i_vz;0
0;10x10;exp_agent3-1;2;75;i_vz;i_b;1
0;10x10;exp_agent3-1;2;74;i_b;i_vz;1
0;10x10;exp_agent3-1;2;73;i_vz;i_b;2
