"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;16x16;exp_agent3-2;0;200;i_ini;i_vz;0
0;16x16;exp_agent3-2;0;199;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;198;i_vz;i_vz;0
0;16x16;exp_agent3-2;0;197;i_vz;i_vz;3
0;16x16;exp_agent3-2;0;196;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;195;i_vz;i_vz;3
0;16x16;exp_agent3-2;0;194;i_vz;i_vz;0
0;16x16;exp_agent3-2;0;193;i_vz;i_s;3
0;16x16;exp_agent3-2;0;192;i_s;i_vz;3
0;16x16;exp_agent3-2;0;191;i_vz;i_s;0
0;16x16;exp_agent3-2;0;190;i_s;i_vz;3
0;16x16;exp_agent3-2;0;189;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;188;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;187;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;186;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;185;i_vz;i_b;2
0;16x16;exp_agent3-2;0;184;i_b;i_vz;2
0;16x16;exp_agent3-2;0;183;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;182;i_vz;i_vz;3
0;16x16;exp_agent3-2;0;181;i_vz;i_vz;0
0;16x16;exp_agent3-2;0;180;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;179;i_vz;i_b;1
0;16x16;exp_agent3-2;0;178;i_b;i_vz;1
0;16x16;exp_agent3-2;0;177;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;176;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;175;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;174;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;173;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;172;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;171;i_vz;i_vz;2
0;16x16;exp_agent3-2;0;170;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;169;i_vz;i_vz;1
0;16x16;exp_agent3-2;0;168;i_vz;i_vz;1
