"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;8x8;exp_agent3-3;0;65;i_ini;i_vz;2
0;8x8;exp_agent3-3;0;64;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;63;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;62;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;61;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;60;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;59;i_vz;i_s;0
0;8x8;exp_agent3-3;0;58;i_s;i_vz;0
0;8x8;exp_agent3-3;0;57;i_vz;i_bs;1
0;8x8;exp_agent3-3;0;56;i_bs;i_vz;0
0;8x8;exp_agent3-3;0;55;i_vz;i_b;1
0;8x8;exp_agent3-3;0;54;i_b;i_vz;1
0;8x8;exp_agent3-3;0;53;i_vz;i_bf;2
0;8x8;exp_agent3-3;0;52;i_bf;i_gl;1
0;8x8;exp_agent3-3;1;65;i_ini;i_vz;2
0;8x8;exp_agent3-3;1;64;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;63;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;62;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;61;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;60;i_vz;i_vz;2
0;8x8;exp_agent3-3;1;59;i_vz;i_vz;3
0;8x8;exp_agent3-3;1;58;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;57;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;56;i_vz;i_vz;2
0;8x8;exp_agent3-3;1;55;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;54;i_vz;i_bs;0
0;8x8;exp_agent3-3;1;53;i_bs;i_vz;3
0;8x8;exp_agent3-3;1;52;i_vz;i_s;0
0;8x8;exp_agent3-3;1;51;i_s;i_vz;0
0;8x8;exp_agent3-3;1;50;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;49;i_vz;i_bf;0
0;8x8;exp_agent3-3;1;48;i_bf;i_gl;0
