"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;8x8;exp_agent3-3;0;65;i_ini;i_vz;1
0;8x8;exp_agent3-3;0;64;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;63;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;62;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;61;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;60;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;59;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;58;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;57;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;56;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;55;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;54;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;53;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;52;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;51;i_vz;i_b;0
0;8x8;exp_agent3-3;0;50;i_b;i_vz;3
0;8x8;exp_agent3-3;0;49;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;48;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;47;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;46;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;45;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;44;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;43;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;42;i_vz;i_ini;1
0;8x8;exp_agent3-3;0;41;i_ini;i_vz;1
0;8x8;exp_agent3-3;0;40;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;39;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;38;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;37;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;36;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;35;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;34;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;33;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;32;i_vz;i_vz;2
0;8x8;exp_agent3-3;0;31;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;30;i_vz;i_vz;3
0;8x8;exp_agent3-3;0;29;i_vz;i_vz;1
0;8x8;exp_agent3-3;0;28;i_vz;i_s;0
0;8x8;exp_agent3-3;0;27;i_s;i_vz;0
0;8x8;exp_agent3-3;0;26;i_vz;i_vz;0
0;8x8;exp_agent3-3;0;25;i_vz;i_bf;0
0;8x8;exp_agent3-3;0;24;i_bf;i_gl;0
0;8x8;exp_agent3-3;1;65;i_ini;i_vz;2
0;8x8;exp_agent3-3;1;64;i_vz;i_vz;3
0;8x8;exp_agent3-3;1;63;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;62;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;61;i_vz;i_vz;3
0;8x8;exp_agent3-3;1;60;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;59;i_vz;i_vz;1
0;8x8;exp_agent3-3;1;58;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;57;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;56;i_vz;i_s;1
0;8x8;exp_agent3-3;1;55;i_s;i_vz;0
0;8x8;exp_agent3-3;1;54;i_vz;i_vz;0
0;8x8;exp_agent3-3;1;53;i_vz;i_bf;0
0;8x8;exp_agent3-3;1;52;i_bf;i_gl;0
0;8x8;exp_agent3-3;2;65;i_ini;i_vz;3
0;8x8;exp_agent3-3;2;64;i_vz;i_vz;0
0;8x8;exp_agent3-3;2;63;i_vz;i_vz;1
0;8x8;exp_agent3-3;2;62;i_vz;i_vz;1
0;8x8;exp_agent3-3;2;61;i_vz;i_b;0
0;8x8;exp_agent3-3;2;60;i_b;i_vz;2
0;8x8;exp_agent3-3;2;59;i_vz;i_vz;3
0;8x8;exp_agent3-3;2;58;i_vz;i_vz;0
0;8x8;exp_agent3-3;2;57;i_vz;i_b;1
0;8x8;exp_agent3-3;2;56;i_b;i_vz;3
0;8x8;exp_agent3-3;2;55;i_vz;i_vz;3
0;8x8;exp_agent3-3;2;54;i_vz;i_vz;0
0;8x8;exp_agent3-3;2;53;i_vz;i_s;0
0;8x8;exp_agent3-3;2;52;i_s;i_vz;2
0;8x8;exp_agent3-3;2;51;i_vz;i_s;0
0;8x8;exp_agent3-3;2;50;i_s;i_vz;0
0;8x8;exp_agent3-3;2;49;i_vz;i_bs;1
0;8x8;exp_agent3-3;2;48;i_bs;i_vz;3
0;8x8;exp_agent3-3;2;47;i_vz;i_bs;1
0;8x8;exp_agent3-3;2;46;i_bs;i_vz;3
0;8x8;exp_agent3-3;2;45;i_vz;i_bs;1
0;8x8;exp_agent3-3;2;44;i_bs;i_vz;0
0;8x8;exp_agent3-3;2;43;i_vz;i_b;1
0;8x8;exp_agent3-3;2;42;i_b;i_vz;1
0;8x8;exp_agent3-3;2;41;i_vz;i_f;1
0;8x8;exp_agent3-3;2;40;i_f;i_gl;2
0;8x8;exp_agent3-3;3;65;i_ini;i_vz;3
0;8x8;exp_agent3-3;3;64;i_vz;i_vz;0
0;8x8;exp_agent3-3;3;63;i_vz;i_vz;1
0;8x8;exp_agent3-3;3;62;i_vz;i_vz;1
0;8x8;exp_agent3-3;3;61;i_vz;i_vz;2
0;8x8;exp_agent3-3;3;60;i_vz;i_vz;1
0;8x8;exp_agent3-3;3;59;i_vz;i_vz;0
0;8x8;exp_agent3-3;3;58;i_vz;i_vz;2
0;8x8;exp_agent3-3;3;57;i_vz;i_vz;1
0;8x8;exp_agent3-3;3;56;i_vz;i_vz;3
0;8x8;exp_agent3-3;3;55;i_vz;i_vz;0
0;8x8;exp_agent3-3;3;54;i_vz;i_s;1
0;8x8;exp_agent3-3;3;53;i_s;i_vz;0
0;8x8;exp_agent3-3;3;52;i_vz;i_vz;0
0;8x8;exp_agent3-3;3;51;i_vz;i_bf;0
0;8x8;exp_agent3-3;3;50;i_bf;i_gl;0
0;8x8;exp_agent3-3;4;65;i_ini;i_vz;1
0;8x8;exp_agent3-3;4;64;i_vz;i_vz;0
0;8x8;exp_agent3-3;4;63;i_vz;i_b;0
0;8x8;exp_agent3-3;4;62;i_b;i_vz;2
0;8x8;exp_agent3-3;4;61;i_vz;i_vz;1
0;8x8;exp_agent3-3;4;60;i_vz;i_s;1
0;8x8;exp_agent3-3;4;59;i_s;i_vz;0
0;8x8;exp_agent3-3;4;58;i_vz;i_vz;0
0;8x8;exp_agent3-3;4;57;i_vz;i_bf;0
0;8x8;exp_agent3-3;4;56;i_bf;i_gl;0
0;8x8;exp_agent3-3;5;65;i_ini;i_vz;1
0;8x8;exp_agent3-3;5;64;i_vz;i_vz;1
0;8x8;exp_agent3-3;5;63;i_vz;i_vz;0
0;8x8;exp_agent3-3;5;62;i_vz;i_vz;0
0;8x8;exp_agent3-3;5;61;i_vz;i_b;0
0;8x8;exp_agent3-3;5;60;i_b;i_vz;0
0;8x8;exp_agent3-3;5;59;i_vz;i_bf;1
0;8x8;exp_agent3-3;5;58;i_bf;i_gl;0
0;8x8;exp_agent3-3;6;65;i_ini;i_vz;1
