"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;8x8;exp_agent2-1;0;65;i_ini;i_vz;0
0;8x8;exp_agent2-1;0;64;i_vz;i_ini;2
0;8x8;exp_agent2-1;0;63;i_ini;i_vz;0
0;8x8;exp_agent2-1;0;62;i_vz;i_ini;2
0;8x8;exp_agent2-1;0;61;i_ini;i_vz;0
0;8x8;exp_agent2-1;0;60;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;59;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;58;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;57;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;56;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;55;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;54;i_vz;i_s;1
0;8x8;exp_agent2-1;0;53;i_s;i_vz;3
0;8x8;exp_agent2-1;0;52;i_vz;i_vz;2
0;8x8;exp_agent2-1;0;51;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;50;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;49;i_vz;i_vz;2
0;8x8;exp_agent2-1;0;48;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;47;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;46;i_vz;i_bs;1
0;8x8;exp_agent2-1;0;45;i_bs;i_vz;3
0;8x8;exp_agent2-1;0;44;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;43;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;42;i_vz;i_vz;2
0;8x8;exp_agent2-1;0;41;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;40;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;39;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;38;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;37;i_vz;i_cl;2
0;8x8;exp_agent2-1;0;36;i_cl;i_vz;3
0;8x8;exp_agent2-1;0;35;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;34;i_vz;i_vz;3
0;8x8;exp_agent2-1;0;33;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;32;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;31;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;30;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;29;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;28;i_vz;i_vz;1
0;8x8;exp_agent2-1;0;27;i_vz;i_s;2
0;8x8;exp_agent2-1;0;26;i_s;i_vz;0
0;8x8;exp_agent2-1;0;25;i_vz;i_s;2
0;8x8;exp_agent2-1;0;24;i_s;i_vz;0
0;8x8;exp_agent2-1;0;23;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;22;i_vz;i_b;1
0;8x8;exp_agent2-1;0;21;i_b;i_vz;3
0;8x8;exp_agent2-1;0;20;i_vz;i_b;1
0;8x8;exp_agent2-1;0;19;i_b;i_vz;3
0;8x8;exp_agent2-1;0;18;i_vz;i_bf;0
0;8x8;exp_agent2-1;0;17;i_bf;i_vz;2
0;8x8;exp_agent2-1;0;16;i_vz;i_vz;2
0;8x8;exp_agent2-1;0;15;i_vz;i_s;2
0;8x8;exp_agent2-1;0;14;i_s;i_vz;0
0;8x8;exp_agent2-1;0;13;i_vz;i_vz;0
0;8x8;exp_agent2-1;0;12;i_vz;i_b;1
0;8x8;exp_agent2-1;0;11;i_b;i_vz;3
0;8x8;exp_agent2-1;0;10;i_vz;i_bf;0
0;8x8;exp_agent2-1;0;9;i_bf;i_vz;3
0;8x8;exp_agent2-1;0;8;i_vz;i_bs;3
0;8x8;exp_agent2-1;0;7;i_bs;i_vz;1
0;8x8;exp_agent2-1;0;6;i_vz;i_bf;0
0;8x8;exp_agent2-1;0;5;i_bf;i_died;3
0;8x8;exp_agent2-1;1;65;i_ini;i_vz;0
0;8x8;exp_agent2-1;1;64;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;63;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;62;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;61;i_vz;i_b;0
0;8x8;exp_agent2-1;1;60;i_b;i_vz;2
0;8x8;exp_agent2-1;1;59;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;58;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;57;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;56;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;55;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;54;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;53;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;52;i_vz;i_cl;2
0;8x8;exp_agent2-1;1;51;i_cl;i_cl;2
0;8x8;exp_agent2-1;1;50;i_cl;i_vz;3
0;8x8;exp_agent2-1;1;49;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;48;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;47;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;46;i_vz;i_cl;2
0;8x8;exp_agent2-1;1;45;i_cl;i_cl;2
0;8x8;exp_agent2-1;1;44;i_cl;i_vz;1
0;8x8;exp_agent2-1;1;43;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;42;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;41;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;40;i_vz;i_bs;1
0;8x8;exp_agent2-1;1;39;i_bs;i_vz;3
0;8x8;exp_agent2-1;1;38;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;37;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;36;i_vz;i_ini;3
0;8x8;exp_agent2-1;1;35;i_ini;i_vz;0
0;8x8;exp_agent2-1;1;34;i_vz;i_ini;2
0;8x8;exp_agent2-1;1;33;i_ini;i_vz;2
0;8x8;exp_agent2-1;1;32;i_vz;i_ini;0
0;8x8;exp_agent2-1;1;31;i_ini;i_vz;0
0;8x8;exp_agent2-1;1;30;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;29;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;28;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;27;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;26;i_vz;i_bs;1
0;8x8;exp_agent2-1;1;25;i_bs;i_vz;3
0;8x8;exp_agent2-1;1;24;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;23;i_vz;i_cl;2
0;8x8;exp_agent2-1;1;22;i_cl;i_cl;2
0;8x8;exp_agent2-1;1;21;i_cl;i_cl;2
0;8x8;exp_agent2-1;1;20;i_cl;i_vz;3
0;8x8;exp_agent2-1;1;19;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;18;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;17;i_vz;i_s;0
0;8x8;exp_agent2-1;1;16;i_s;i_vz;2
0;8x8;exp_agent2-1;1;15;i_vz;i_vz;2
0;8x8;exp_agent2-1;1;14;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;13;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;12;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;11;i_vz;i_vz;3
0;8x8;exp_agent2-1;1;10;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;9;i_vz;i_vz;0
0;8x8;exp_agent2-1;1;8;i_vz;i_b;3
0;8x8;exp_agent2-1;1;7;i_b;i_vz;1
0;8x8;exp_agent2-1;1;6;i_vz;i_b;3
0;8x8;exp_agent2-1;1;5;i_b;i_vz;1
0;8x8;exp_agent2-1;1;4;i_vz;i_b;3
0;8x8;exp_agent2-1;1;3;i_b;i_vz;1
0;8x8;exp_agent2-1;1;2;i_vz;i_vz;1
0;8x8;exp_agent2-1;1;1;i_vz;i_vz;3
0;8x8;exp_agent2-1;2;65;i_ini;i_vz;2
0;8x8;exp_agent2-1;2;64;i_vz;i_vz;1
0;8x8;exp_agent2-1;2;63;i_vz;i_cl;2
0;8x8;exp_agent2-1;2;62;i_cl;i_vz;3
0;8x8;exp_agent2-1;2;61;i_vz;i_ini;0
0;8x8;exp_agent2-1;2;60;i_ini;i_vz;3
0;8x8;exp_agent2-1;2;59;i_vz;i_cl;3
0;8x8;exp_agent2-1;2;58;i_cl;i_ini;1
0;8x8;exp_agent2-1;2;57;i_ini;i_vz;2
0;8x8;exp_agent2-1;2;56;i_vz;i_vz;3
0;8x8;exp_agent2-1;2;55;i_vz;i_cl;3
0;8x8;exp_agent2-1;2;54;i_cl;i_vz;0
0;8x8;exp_agent2-1;2;53;i_vz;i_cl;3
0;8x8;exp_agent2-1;2;52;i_cl;i_cl;3
0;8x8;exp_agent2-1;2;51;i_cl;i_vz;0
0;8x8;exp_agent2-1;2;50;i_vz;i_cl;3
0;8x8;exp_agent2-1;2;49;i_cl;i_cl;3
0;8x8;exp_agent2-1;2;48;i_cl;i_vz;0
0;8x8;exp_agent2-1;2;47;i_vz;i_vz;0
0;8x8;exp_agent2-1;2;46;i_vz;i_bs;1
0;8x8;exp_agent2-1;2;45;i_bs;i_vz;3
0;8x8;exp_agent2-1;2;44;i_vz;i_cl;3
0;8x8;exp_agent2-1;2;43;i_cl;i_cl;3
0;8x8;exp_agent2-1;2;42;i_cl;i_bs;1
0;8x8;exp_agent2-1;2;41;i_bs;i_vz;3
0;8x8;exp_agent2-1;2;40;i_vz;i_s;0
0;8x8;exp_agent2-1;2;39;i_s;i_vz;2
0;8x8;exp_agent2-1;2;38;i_vz;i_bs;1
0;8x8;exp_agent2-1;2;37;i_bs;i_vz;3
0;8x8;exp_agent2-1;2;36;i_vz;i_bs;1
0;8x8;exp_agent2-1;2;35;i_bs;i_vz;3
0;8x8;exp_agent2-1;2;34;i_vz;i_s;0
0;8x8;exp_agent2-1;2;33;i_s;i_vz;2
0;8x8;exp_agent2-1;2;32;i_vz;i_vz;2
0;8x8;exp_agent2-1;2;31;i_vz;i_vz;1
0;8x8;exp_agent2-1;2;30;i_vz;i_bs;0
0;8x8;exp_agent2-1;2;29;i_bs;i_vz;2
0;8x8;exp_agent2-1;2;28;i_vz;i_b;1
0;8x8;exp_agent2-1;2;27;i_b;i_vz;3
