"env";"config";"exp";"energy";"current";"next_state";"next_move"
0;8x8;exp_agent3-1;0;65;i_ini;i_vz;2
0;8x8;exp_agent3-1;0;64;i_vz;i_vz;3
0;8x8;exp_agent3-1;0;63;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;62;i_vz;i_ini;1
0;8x8;exp_agent3-1;0;61;i_ini;i_vz;2
0;8x8;exp_agent3-1;0;60;i_vz;i_vz;3
0;8x8;exp_agent3-1;0;59;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;58;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;57;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;56;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;55;i_vz;i_vz;2
0;8x8;exp_agent3-1;0;54;i_vz;i_ini;2
0;8x8;exp_agent3-1;0;53;i_ini;i_vz;3
0;8x8;exp_agent3-1;0;52;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;51;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;50;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;49;i_vz;i_vz;2
0;8x8;exp_agent3-1;0;48;i_vz;i_vz;2
0;8x8;exp_agent3-1;0;47;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;46;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;45;i_vz;i_vz;1
0;8x8;exp_agent3-1;0;44;i_vz;i_b;1
0;8x8;exp_agent3-1;0;43;i_b;i_vz;1
0;8x8;exp_agent3-1;0;42;i_vz;i_b;0
0;8x8;exp_agent3-1;0;41;i_b;i_vz;0
0;8x8;exp_agent3-1;0;40;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;39;i_vz;i_vz;3
0;8x8;exp_agent3-1;0;38;i_vz;i_bs;2
0;8x8;exp_agent3-1;0;37;i_bs;i_vz;1
0;8x8;exp_agent3-1;0;36;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;35;i_vz;i_vz;0
0;8x8;exp_agent3-1;0;34;i_vz;i_vz;3
0;8x8;exp_agent3-1;0;33;i_vz;i_vz;2
0;8x8;exp_agent3-1;0;32;i_vz;i_bs;2
0;8x8;exp_agent3-1;0;31;i_bs;i_vz;1
