"env";"config";"exp";"energy";"current";"next_state";"next_move"
10x10;exp_sensor4;0;100;i_ini;i_vz;1
10x10;exp_sensor4;0;99;i_vz;i_vz;1
10x10;exp_sensor4;0;98;i_vz;i_b;0
10x10;exp_sensor4;0;97;i_b;i_vz;3
10x10;exp_sensor4;0;96;i_vz;i_vz;3
10x10;exp_sensor4;0;95;i_vz;i_vz;0
10x10;exp_sensor4;0;94;i_vz;i_b;1
10x10;exp_sensor4;0;93;i_b;i_vz;2
10x10;exp_sensor4;0;92;i_vz;i_vz;2
10x10;exp_sensor4;0;91;i_vz;i_vz;2
10x10;exp_sensor4;0;90;i_vz;i_vz;2
10x10;exp_sensor4;0;89;i_vz;i_vz;3
10x10;exp_sensor4;0;88;i_vz;i_vz;0
10x10;exp_sensor4;0;87;i_vz;i_vz;3
10x10;exp_sensor4;0;86;i_vz;i_vz;2
10x10;exp_sensor4;0;85;i_vz;i_vz;3
10x10;exp_sensor4;0;84;i_vz;i_vz;2
10x10;exp_sensor4;0;83;i_vz;i_vz;1
10x10;exp_sensor4;0;82;i_vz;i_vz;0
10x10;exp_sensor4;0;81;i_vz;i_vz;3
10x10;exp_sensor4;0;80;i_vz;i_vz;0
10x10;exp_sensor4;0;79;i_vz;i_s;0
10x10;exp_sensor4;0;78;i_s;i_vz;1
10x10;exp_sensor4;0;77;i_vz;i_ini;1
10x10;exp_sensor4;0;76;i_ini;i_vz;2
10x10;exp_sensor4;0;75;i_vz;i_vz;2
10x10;exp_sensor4;0;74;i_vz;i_vz;2
10x10;exp_sensor4;0;73;i_vz;i_vz;2
10x10;exp_sensor4;0;72;i_vz;i_vz;1
10x10;exp_sensor4;0;71;i_vz;i_s;2
10x10;exp_sensor4;0;70;i_s;i_b;1
10x10;exp_sensor4;0;69;i_b;i_s;2
10x10;exp_sensor4;0;68;i_s;i_b;1
10x10;exp_sensor4;0;67;i_b;i_vz;1
10x10;exp_sensor4;0;66;i_vz;i_bf;0
10x10;exp_sensor4;0;65;i_bf;i_gl;1
10x10;exp_sensor4;1;100;i_ini;i_vz;3
10x10;exp_sensor4;1;99;i_vz;i_vz;2
10x10;exp_sensor4;1;98;i_vz;i_vz;3
10x10;exp_sensor4;1;97;i_vz;i_vz;2
10x10;exp_sensor4;1;96;i_vz;i_vz;2
10x10;exp_sensor4;1;95;i_vz;i_vz;1
10x10;exp_sensor4;1;94;i_vz;i_vz;0
10x10;exp_sensor4;1;93;i_vz;i_vz;0
10x10;exp_sensor4;1;92;i_vz;i_vz;3
10x10;exp_sensor4;1;91;i_vz;i_s;0
10x10;exp_sensor4;1;90;i_s;i_vz;1
10x10;exp_sensor4;1;89;i_vz;i_vz;2
10x10;exp_sensor4;1;88;i_vz;i_vz;3
10x10;exp_sensor4;1;87;i_vz;i_vz;2
10x10;exp_sensor4;1;86;i_vz;i_vz;2
10x10;exp_sensor4;1;85;i_vz;i_b;2
10x10;exp_sensor4;1;84;i_b;i_vz;1
10x10;exp_sensor4;1;83;i_vz;i_vz;0
10x10;exp_sensor4;1;82;i_vz;i_vz;3
10x10;exp_sensor4;1;81;i_vz;i_b;2
10x10;exp_sensor4;1;80;i_b;i_vz;1
10x10;exp_sensor4;1;79;i_vz;i_vz;1
10x10;exp_sensor4;1;78;i_vz;i_vz;1
10x10;exp_sensor4;1;77;i_vz;i_vz;0
10x10;exp_sensor4;1;76;i_vz;i_vz;1
10x10;exp_sensor4;1;75;i_vz;i_vz;1
10x10;exp_sensor4;1;74;i_vz;i_vz;1
