"env";"config";"exp";"energy";"current";"next_state";"next_move"
10x10;exp_sensor5;0;100;i_ini;i_vz;0
10x10;exp_sensor5;0;99;i_vz;i_vz;0
10x10;exp_sensor5;0;98;i_vz;i_vz;3
10x10;exp_sensor5;0;97;i_vz;i_s;3
10x10;exp_sensor5;0;96;i_s;i_cl;0
10x10;exp_sensor5;0;95;i_cl;i_vz;1
10x10;exp_sensor5;0;94;i_vz;i_vz;1
10x10;exp_sensor5;0;93;i_vz;i_vz;2
10x10;exp_sensor5;0;92;i_vz;i_vz;1
10x10;exp_sensor5;0;91;i_vz;i_b;0
10x10;exp_sensor5;0;90;i_b;i_vz;3
10x10;exp_sensor5;0;89;i_vz;i_vz;3
10x10;exp_sensor5;0;88;i_vz;i_s;3
10x10;exp_sensor5;0;87;i_s;i_cl;3
10x10;exp_sensor5;0;86;i_cl;i_cl;3
10x10;exp_sensor5;0;85;i_cl;i_cl;3
10x10;exp_sensor5;0;84;i_cl;i_died;2
10x10;exp_sensor5;0;83;i_died;i_s;1
10x10;exp_sensor5;0;82;i_s;i_vz;2
10x10;exp_sensor5;0;81;i_vz;i_vz;2
10x10;exp_sensor5;0;80;i_vz;i_vz;3
10x10;exp_sensor5;0;79;i_vz;i_s;0
10x10;exp_sensor5;0;78;i_s;i_vz;1
10x10;exp_sensor5;0;77;i_vz;i_ini;1
10x10;exp_sensor5;0;76;i_ini;i_vz;0
10x10;exp_sensor5;0;75;i_vz;i_s;3
10x10;exp_sensor5;0;74;i_s;i_vz;0
10x10;exp_sensor5;0;73;i_vz;i_vz;1
10x10;exp_sensor5;0;72;i_vz;i_b;1
10x10;exp_sensor5;0;71;i_b;i_vz;2
10x10;exp_sensor5;0;70;i_vz;i_vz;3
10x10;exp_sensor5;0;69;i_vz;i_ini;2
10x10;exp_sensor5;0;68;i_ini;i_vz;2
10x10;exp_sensor5;0;67;i_vz;i_vz;2
10x10;exp_sensor5;0;66;i_vz;i_vz;3
10x10;exp_sensor5;0;65;i_vz;i_vz;2
10x10;exp_sensor5;0;64;i_vz;i_vz;3
10x10;exp_sensor5;0;63;i_vz;i_vz;0
10x10;exp_sensor5;0;62;i_vz;i_vz;0
10x10;exp_sensor5;0;61;i_vz;i_vz;1
10x10;exp_sensor5;0;60;i_vz;i_vz;1
10x10;exp_sensor5;0;59;i_vz;i_ini;0
10x10;exp_sensor5;0;58;i_ini;i_vz;1
10x10;exp_sensor5;0;57;i_vz;i_vz;1
10x10;exp_sensor5;0;56;i_vz;i_b;0
10x10;exp_sensor5;0;55;i_b;i_vz;1
10x10;exp_sensor5;0;54;i_vz;i_vz;2
10x10;exp_sensor5;0;53;i_vz;i_b;1
10x10;exp_sensor5;0;52;i_b;i_vz;1
10x10;exp_sensor5;0;51;i_vz;i_b;2
10x10;exp_sensor5;0;50;i_b;i_vz;2
10x10;exp_sensor5;0;49;i_vz;i_s;2
10x10;exp_sensor5;0;48;i_s;i_f;2
10x10;exp_sensor5;0;47;i_f;i_gl;2
10x10;exp_sensor5;1;100;i_ini;i_vz;1
10x10;exp_sensor5;1;99;i_vz;i_vz;2
10x10;exp_sensor5;1;98;i_vz;i_vz;2
10x10;exp_sensor5;1;97;i_vz;i_vz;2
10x10;exp_sensor5;1;96;i_vz;i_vz;3
10x10;exp_sensor5;1;95;i_vz;i_vz;2
10x10;exp_sensor5;1;94;i_vz;i_vz;2
10x10;exp_sensor5;1;93;i_vz;i_s;2
10x10;exp_sensor5;1;92;i_s;i_vz;3
10x10;exp_sensor5;1;91;i_vz;i_b;0
10x10;exp_sensor5;1;90;i_b;i_vz;1
10x10;exp_sensor5;1;89;i_vz;i_s;1
10x10;exp_sensor5;1;88;i_s;i_b;1
10x10;exp_sensor5;1;87;i_b;i_vz;0
10x10;exp_sensor5;1;86;i_vz;i_b;1
10x10;exp_sensor5;1;85;i_b;i_vz;1
10x10;exp_sensor5;1;84;i_vz;i_f;1
10x10;exp_sensor5;1;83;i_f;i_gl;2
10x10;exp_sensor5;2;100;i_ini;i_vz;3
10x10;exp_sensor5;2;99;i_vz;i_s;3
10x10;exp_sensor5;2;98;i_s;i_vz;2
10x10;exp_sensor5;2;97;i_vz;i_vz;1
10x10;exp_sensor5;2;96;i_vz;i_vz;2
10x10;exp_sensor5;2;95;i_vz;i_vz;3
10x10;exp_sensor5;2;94;i_vz;i_vz;2
10x10;exp_sensor5;2;93;i_vz;i_vz;1
10x10;exp_sensor5;2;92;i_vz;i_vz;0
10x10;exp_sensor5;2;91;i_vz;i_vz;1
10x10;exp_sensor5;2;90;i_vz;i_vz;1
10x10;exp_sensor5;2;89;i_vz;i_vz;2
10x10;exp_sensor5;2;88;i_vz;i_vz;1
10x10;exp_sensor5;2;87;i_vz;i_vz;2
10x10;exp_sensor5;2;86;i_vz;i_b;1
10x10;exp_sensor5;2;85;i_b;i_vz;1
10x10;exp_sensor5;2;84;i_vz;i_f;1
10x10;exp_sensor5;2;83;i_f;i_gl;2
10x10;exp_sensor5;3;100;i_ini;i_vz;2
10x10;exp_sensor5;3;99;i_vz;i_vz;3
10x10;exp_sensor5;3;98;i_vz;i_vz;3
10x10;exp_sensor5;3;97;i_vz;i_vz;2
10x10;exp_sensor5;3;96;i_vz;i_vz;2
10x10;exp_sensor5;3;95;i_vz;i_b;2
10x10;exp_sensor5;3;94;i_b;i_vz;1
10x10;exp_sensor5;3;93;i_vz;i_b;2
10x10;exp_sensor5;3;92;i_b;i_vz;1
10x10;exp_sensor5;3;91;i_vz;i_s;2
10x10;exp_sensor5;3;90;i_s;i_vz;3
10x10;exp_sensor5;3;89;i_vz;i_b;3
10x10;exp_sensor5;3;88;i_b;i_vz;2
10x10;exp_sensor5;3;87;i_vz;i_vz;1
10x10;exp_sensor5;3;86;i_vz;i_vz;0
10x10;exp_sensor5;3;85;i_vz;i_s;1
10x10;exp_sensor5;3;84;i_s;i_vz;0
10x10;exp_sensor5;3;83;i_vz;i_s;1
10x10;exp_sensor5;3;82;i_s;i_b;1
10x10;exp_sensor5;3;81;i_b;i_s;2
10x10;exp_sensor5;3;80;i_s;i_b;1
10x10;exp_sensor5;3;79;i_b;i_vz;1
10x10;exp_sensor5;3;78;i_vz;i_f;1
10x10;exp_sensor5;3;77;i_f;i_gl;0
10x10;exp_sensor5;4;100;i_ini;i_vz;0
10x10;exp_sensor5;4;99;i_vz;i_vz;1
10x10;exp_sensor5;4;98;i_vz;i_vz;2
10x10;exp_sensor5;4;97;i_vz;i_ini;3
10x10;exp_sensor5;4;96;i_ini;i_vz;2
10x10;exp_sensor5;4;95;i_vz;i_vz;2
10x10;exp_sensor5;4;94;i_vz;i_vz;2
10x10;exp_sensor5;4;93;i_vz;i_vz;3
10x10;exp_sensor5;4;92;i_vz;i_vz;3
10x10;exp_sensor5;4;91;i_vz;i_vz;0
10x10;exp_sensor5;4;90;i_vz;i_vz;0
10x10;exp_sensor5;4;89;i_vz;i_vz;1
10x10;exp_sensor5;4;88;i_vz;i_vz;2
10x10;exp_sensor5;4;87;i_vz;i_vz;1
10x10;exp_sensor5;4;86;i_vz;i_vz;2
10x10;exp_sensor5;4;85;i_vz;i_vz;2
10x10;exp_sensor5;4;84;i_vz;i_vz;3
10x10;exp_sensor5;4;83;i_vz;i_b;3
10x10;exp_sensor5;4;82;i_b;i_vz;0
10x10;exp_sensor5;4;81;i_vz;i_vz;0
10x10;exp_sensor5;4;80;i_vz;i_vz;1
10x10;exp_sensor5;4;79;i_vz;i_vz;0
10x10;exp_sensor5;4;78;i_vz;i_vz;3
10x10;exp_sensor5;4;77;i_vz;i_s;0
10x10;exp_sensor5;4;76;i_s;i_vz;1
10x10;exp_sensor5;4;75;i_vz;i_vz;2
10x10;exp_sensor5;4;74;i_vz;i_vz;2
10x10;exp_sensor5;4;73;i_vz;i_vz;3
10x10;exp_sensor5;4;72;i_vz;i_vz;0
10x10;exp_sensor5;4;71;i_vz;i_s;0
10x10;exp_sensor5;4;70;i_s;i_vz;1
10x10;exp_sensor5;4;69;i_vz;i_s;0
10x10;exp_sensor5;4;68;i_s;i_vz;1
10x10;exp_sensor5;4;67;i_vz;i_vz;1
10x10;exp_sensor5;4;66;i_vz;i_b;0
10x10;exp_sensor5;4;65;i_b;i_vz;3
10x10;exp_sensor5;4;64;i_vz;i_vz;2
10x10;exp_sensor5;4;63;i_vz;i_vz;1
10x10;exp_sensor5;4;62;i_vz;i_vz;2
10x10;exp_sensor5;4;61;i_vz;i_vz;1
10x10;exp_sensor5;4;60;i_vz;i_vz;1
10x10;exp_sensor5;4;59;i_vz;i_b;1
10x10;exp_sensor5;4;58;i_b;i_vz;1
10x10;exp_sensor5;4;57;i_vz;i_b;0
10x10;exp_sensor5;4;56;i_b;i_vz;0
10x10;exp_sensor5;4;55;i_vz;i_b;1
10x10;exp_sensor5;4;54;i_b;i_vz;1
10x10;exp_sensor5;4;53;i_vz;i_b;2
10x10;exp_sensor5;4;52;i_b;i_vz;2
10x10;exp_sensor5;4;51;i_vz;i_b;3
10x10;exp_sensor5;4;50;i_b;i_vz;3
10x10;exp_sensor5;4;49;i_vz;i_b;3
10x10;exp_sensor5;4;48;i_b;i_vz;3
10x10;exp_sensor5;4;47;i_vz;i_vz;0
10x10;exp_sensor5;4;46;i_vz;i_b;0
10x10;exp_sensor5;4;45;i_b;i_vz;1
10x10;exp_sensor5;4;44;i_vz;i_vz;1
10x10;exp_sensor5;4;43;i_vz;i_b;1
10x10;exp_sensor5;4;42;i_b;i_vz;1
10x10;exp_sensor5;4;41;i_vz;i_b;2
10x10;exp_sensor5;4;40;i_b;i_vz;2
10x10;exp_sensor5;4;39;i_vz;i_vz;2
10x10;exp_sensor5;4;38;i_vz;i_vz;3
10x10;exp_sensor5;4;37;i_vz;i_b;3
10x10;exp_sensor5;4;36;i_b;i_vz;2
10x10;exp_sensor5;4;35;i_vz;i_s;2
10x10;exp_sensor5;4;34;i_s;i_f;2
10x10;exp_sensor5;4;33;i_f;i_gl;2
10x10;exp_sensor5;5;100;i_ini;i_vz;1
10x10;exp_sensor5;5;99;i_vz;i_vz;2
10x10;exp_sensor5;5;98;i_vz;i_vz;1
10x10;exp_sensor5;5;97;i_vz;i_b;1
10x10;exp_sensor5;5;96;i_b;i_vz;0
10x10;exp_sensor5;5;95;i_vz;i_b;1
10x10;exp_sensor5;5;94;i_b;i_vz;0
10x10;exp_sensor5;5;93;i_vz;i_b;1
10x10;exp_sensor5;5;92;i_b;i_vz;0
10x10;exp_sensor5;5;91;i_vz;i_b;1
10x10;exp_sensor5;5;90;i_b;i_vz;1
10x10;exp_sensor5;5;89;i_vz;i_b;2
10x10;exp_sensor5;5;88;i_b;i_vz;2
10x10;exp_sensor5;5;87;i_vz;i_vz;2
10x10;exp_sensor5;5;86;i_vz;i_vz;3
10x10;exp_sensor5;5;85;i_vz;i_b;0
10x10;exp_sensor5;5;84;i_b;i_vz;3
10x10;exp_sensor5;5;83;i_vz;i_b;0
10x10;exp_sensor5;5;82;i_b;i_vz;0
10x10;exp_sensor5;5;81;i_vz;i_b;1
10x10;exp_sensor5;5;80;i_b;i_vz;1
10x10;exp_sensor5;5;79;i_vz;i_b;2
10x10;exp_sensor5;5;78;i_b;i_vz;2
10x10;exp_sensor5;5;77;i_vz;i_b;3
10x10;exp_sensor5;5;76;i_b;i_vz;3
10x10;exp_sensor5;5;75;i_vz;i_b;2
10x10;exp_sensor5;5;74;i_b;i_vz;2
10x10;exp_sensor5;5;73;i_vz;i_s;2
10x10;exp_sensor5;5;72;i_s;i_f;2
10x10;exp_sensor5;5;71;i_f;i_gl;2
10x10;exp_sensor5;6;100;i_ini;i_vz;0
10x10;exp_sensor5;6;99;i_vz;i_s;3
10x10;exp_sensor5;6;98;i_s;i_vz;2
10x10;exp_sensor5;6;97;i_vz;i_ini;1
10x10;exp_sensor5;6;96;i_ini;i_vz;2
10x10;exp_sensor5;6;95;i_vz;i_vz;2
10x10;exp_sensor5;6;94;i_vz;i_vz;3
10x10;exp_sensor5;6;93;i_vz;i_vz;2
