"env";"config";"exp";"energy";"current";"next_state";"next_move"
10x10;exp_sensor1;0;100;i_ini;i_vz;1
10x10;exp_sensor1;0;99;i_vz;i_vz;1
10x10;exp_sensor1;0;98;i_vz;i_vz;1
10x10;exp_sensor1;0;97;i_vz;i_b;2
10x10;exp_sensor1;0;96;i_b;i_vz;2
10x10;exp_sensor1;0;95;i_vz;i_b;1
10x10;exp_sensor1;0;94;i_b;i_vz;2
10x10;exp_sensor1;0;93;i_vz;i_s;1
10x10;exp_sensor1;0;92;i_s;i_f;2
10x10;exp_sensor1;0;91;i_f;i_gl;2
10x10;exp_sensor1;1;100;i_ini;i_vz;2
10x10;exp_sensor1;1;99;i_vz;i_vz;3
10x10;exp_sensor1;1;98;i_vz;i_vz;0
10x10;exp_sensor1;1;97;i_vz;i_s;0
10x10;exp_sensor1;1;96;i_s;i_vz;1
10x10;exp_sensor1;1;95;i_vz;i_vz;0
10x10;exp_sensor1;1;94;i_vz;i_vz;3
10x10;exp_sensor1;1;93;i_vz;i_s;3
10x10;exp_sensor1;1;92;i_s;i_cl;0
10x10;exp_sensor1;1;91;i_cl;i_vz;1
10x10;exp_sensor1;1;90;i_vz;i_s;2
10x10;exp_sensor1;1;89;i_s;i_vz;1
10x10;exp_sensor1;1;88;i_vz;i_vz;0
10x10;exp_sensor1;1;87;i_vz;i_b;1
10x10;exp_sensor1;1;86;i_b;i_vz;2
10x10;exp_sensor1;1;85;i_vz;i_vz;2
10x10;exp_sensor1;1;84;i_vz;i_vz;1
10x10;exp_sensor1;1;83;i_vz;i_vz;1
10x10;exp_sensor1;1;82;i_vz;i_b;1
10x10;exp_sensor1;1;81;i_b;i_vz;0
10x10;exp_sensor1;1;80;i_vz;i_vz;0
10x10;exp_sensor1;1;79;i_vz;i_b;3
10x10;exp_sensor1;1;78;i_b;i_vz;2
10x10;exp_sensor1;1;77;i_vz;i_vz;2
10x10;exp_sensor1;1;76;i_vz;i_b;2
10x10;exp_sensor1;1;75;i_b;i_vz;3
10x10;exp_sensor1;1;74;i_vz;i_vz;3
10x10;exp_sensor1;1;73;i_vz;i_vz;2
10x10;exp_sensor1;1;72;i_vz;i_vz;3
10x10;exp_sensor1;1;71;i_vz;i_vz;0
10x10;exp_sensor1;1;70;i_vz;i_vz;3
10x10;exp_sensor1;1;69;i_vz;i_vz;2
10x10;exp_sensor1;1;68;i_vz;i_vz;1
10x10;exp_sensor1;1;67;i_vz;i_vz;0
