"env";"config";"exp";"energy";"current";"next_state";"next_move"
10x10;exp_sensor1;0;200;i_ini;i_vz;0
10x10;exp_sensor1;0;199;i_vz;i_s;3
10x10;exp_sensor1;0;198;i_s;i_vz;2
10x10;exp_sensor1;0;197;i_vz;i_vz;2
10x10;exp_sensor1;0;196;i_vz;i_vz;1
10x10;exp_sensor1;0;195;i_vz;i_ini;0
10x10;exp_sensor1;0;194;i_ini;i_vz;3
10x10;exp_sensor1;0;193;i_vz;i_s;0
10x10;exp_sensor1;0;192;i_s;i_vz;0
10x10;exp_sensor1;0;191;i_vz;i_vz;1
10x10;exp_sensor1;0;190;i_vz;i_vz;2
10x10;exp_sensor1;0;189;i_vz;i_s;3
10x10;exp_sensor1;0;188;i_s;i_vz;0
10x10;exp_sensor1;0;187;i_vz;i_vz;1
10x10;exp_sensor1;0;186;i_vz;i_b;1
10x10;exp_sensor1;0;185;i_b;i_vz;2
10x10;exp_sensor1;0;184;i_vz;i_b;1
10x10;exp_sensor1;0;183;i_b;i_vz;2
10x10;exp_sensor1;0;182;i_vz;i_vz;3
10x10;exp_sensor1;0;181;i_vz;i_ini;3
10x10;exp_sensor1;0;180;i_ini;i_vz;2
10x10;exp_sensor1;0;179;i_vz;i_vz;1
10x10;exp_sensor1;0;178;i_vz;i_vz;0
10x10;exp_sensor1;0;177;i_vz;i_vz;1
10x10;exp_sensor1;0;176;i_vz;i_vz;1
10x10;exp_sensor1;0;175;i_vz;i_vz;0
10x10;exp_sensor1;0;174;i_vz;i_vz;1
10x10;exp_sensor1;0;173;i_vz;i_b;2
10x10;exp_sensor1;0;172;i_b;i_vz;1
10x10;exp_sensor1;0;171;i_vz;i_b;2
10x10;exp_sensor1;0;170;i_b;i_vz;1
10x10;exp_sensor1;0;169;i_vz;i_b;0
10x10;exp_sensor1;0;168;i_b;i_vz;1
10x10;exp_sensor1;0;167;i_vz;i_vz;2
10x10;exp_sensor1;0;166;i_vz;i_vz;3
10x10;exp_sensor1;0;165;i_vz;i_b;3
10x10;exp_sensor1;0;164;i_b;i_vz;0
10x10;exp_sensor1;0;163;i_vz;i_b;0
10x10;exp_sensor1;0;162;i_b;i_vz;3
10x10;exp_sensor1;0;161;i_vz;i_vz;3
10x10;exp_sensor1;0;160;i_vz;i_b;0
10x10;exp_sensor1;0;159;i_b;i_vz;1
10x10;exp_sensor1;0;158;i_vz;i_vz;1
10x10;exp_sensor1;0;157;i_vz;i_b;1
10x10;exp_sensor1;0;156;i_b;i_vz;1
10x10;exp_sensor1;0;155;i_vz;i_b;2
10x10;exp_sensor1;0;154;i_b;i_vz;2
10x10;exp_sensor1;0;153;i_vz;i_b;3
10x10;exp_sensor1;0;152;i_b;i_vz;2
10x10;exp_sensor1;0;151;i_vz;i_s;2
10x10;exp_sensor1;0;150;i_s;i_vz;1
10x10;exp_sensor1;0;149;i_vz;i_s;2
10x10;exp_sensor1;0;148;i_s;i_vz;2
10x10;exp_sensor1;0;147;i_vz;i_s;3
10x10;exp_sensor1;0;146;i_s;i_f;2
10x10;exp_sensor1;0;145;i_f;i_gl;3
10x10;exp_sensor1;1;200;i_ini;i_vz;2
10x10;exp_sensor1;1;199;i_vz;i_vz;3
10x10;exp_sensor1;1;198;i_vz;i_vz;2
10x10;exp_sensor1;1;197;i_vz;i_vz;3
10x10;exp_sensor1;1;196;i_vz;i_vz;0
